fixed acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,type
High,Medium,Medium,MediumHigh,High,Medium,MediumHigh,White
MediumLow,Medium,MediumLow,MediumLow,Medium,Medium,High,White
High,MediumLow,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,White
Medium,High,High,High,High,MediumLow,Medium,White
Medium,MediumHigh,MediumHigh,Medium,Medium,Medium,High,White
High,MediumHigh,MediumLow,MediumLow,MediumHigh,High,High,Red
High,MediumHigh,Medium,Medium,MediumLow,MediumLow,High,White
MediumHigh,High,Medium,MediumHigh,MediumLow,MediumLow,MediumLow,White
Medium,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,Medium,White
MediumLow,MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumLow,High,White
Medium,Medium,Medium,Medium,Medium,MediumLow,High,White
MediumHigh,Medium,High,MediumHigh,Medium,MediumLow,High,White
MediumHigh,High,High,MediumHigh,High,MediumLow,MediumLow,White
Medium,MediumLow,High,High,Medium,MediumLow,Medium,White
MediumLow,MediumLow,MediumHigh,Medium,MediumHigh,MediumLow,High,White
High,High,High,High,Medium,MediumHigh,Medium,White
High,MediumHigh,MediumLow,MediumHigh,Medium,MediumLow,Medium,White
MediumHigh,MediumLow,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,White
MediumHigh,Medium,Medium,MediumLow,High,High,Medium,Red
MediumLow,Medium,High,MediumHigh,MediumHigh,Medium,High,White
MediumHigh,MediumHigh,High,High,MediumHigh,Medium,High,White
MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
Medium,Medium,High,MediumHigh,High,High,MediumHigh,White
MediumLow,MediumLow,Medium,Medium,MediumHigh,MediumLow,High,White
Medium,Medium,Medium,High,High,MediumHigh,Medium,White
Medium,MediumLow,High,MediumHigh,Medium,Medium,Medium,White
Medium,MediumHigh,High,High,MediumLow,MediumLow,MediumLow,White
High,MediumHigh,MediumHigh,MediumLow,Medium,MediumHigh,MediumLow,Red
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumHigh,White
High,MediumLow,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,White
MediumLow,MediumLow,MediumLow,MediumLow,High,MediumHigh,High,Red
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
Medium,MediumLow,Medium,Medium,MediumLow,MediumLow,High,White
MediumLow,High,High,MediumHigh,Medium,MediumLow,Medium,White
MediumLow,Medium,Medium,MediumHigh,Medium,MediumHigh,Medium,White
Medium,High,Medium,MediumHigh,Medium,Medium,MediumLow,White
MediumLow,MediumLow,High,MediumHigh,High,Medium,MediumHigh,White
Medium,High,MediumHigh,Medium,Medium,Medium,MediumHigh,White
MediumLow,MediumHigh,High,MediumHigh,High,MediumHigh,High,White
MediumLow,MediumLow,MediumLow,Medium,MediumHigh,MediumLow,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumLow,MediumLow,Medium,Medium,MediumHigh,Medium,Medium,White
High,Medium,Medium,MediumLow,High,High,MediumLow,Red
MediumLow,High,Medium,High,Medium,Medium,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumLow,High,Medium,Red
High,High,High,High,MediumLow,MediumHigh,MediumLow,White
High,MediumLow,MediumHigh,High,MediumLow,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
Medium,MediumLow,High,High,Medium,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,High,MediumHigh,High,Red
High,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
Medium,MediumLow,MediumHigh,Medium,Medium,MediumLow,High,White
Medium,MediumHigh,MediumLow,MediumHigh,Medium,MediumLow,MediumLow,White
Medium,High,MediumHigh,High,MediumLow,Medium,MediumLow,White
MediumLow,MediumLow,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
Medium,MediumHigh,High,High,Medium,MediumLow,MediumLow,White
MediumHigh,MediumLow,MediumHigh,High,MediumHigh,Medium,MediumHigh,White
High,MediumLow,MediumHigh,High,MediumLow,MediumLow,Medium,White
Medium,MediumHigh,Medium,Medium,MediumHigh,High,High,White
Medium,MediumLow,Medium,High,MediumHigh,MediumHigh,Medium,White
High,MediumLow,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,White
Medium,High,High,High,MediumHigh,Medium,Medium,White
Medium,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
MediumHigh,High,High,High,Medium,MediumHigh,Medium,White
Medium,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,High,White
High,MediumLow,MediumHigh,MediumHigh,MediumHigh,Medium,High,White
MediumHigh,MediumLow,Medium,MediumHigh,MediumHigh,Medium,MediumHigh,White
MediumHigh,MediumLow,MediumLow,Medium,MediumLow,High,High,White
MediumHigh,MediumHigh,MediumLow,MediumLow,High,High,Medium,Red
MediumHigh,MediumHigh,High,High,Medium,MediumLow,Medium,White
MediumLow,MediumLow,Medium,MediumLow,Medium,MediumLow,High,White
MediumLow,MediumLow,MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,High,White
Medium,MediumLow,Medium,MediumHigh,MediumHigh,MediumLow,High,White
Medium,High,Medium,High,MediumHigh,Medium,MediumLow,White
MediumLow,High,MediumHigh,Medium,High,Medium,MediumHigh,White
Medium,MediumLow,MediumLow,MediumLow,Medium,MediumLow,High,White
MediumLow,Medium,MediumLow,Medium,High,High,High,Red
High,Medium,Medium,MediumHigh,MediumLow,MediumHigh,MediumLow,Red
High,Medium,Medium,Medium,MediumHigh,High,Medium,Red
Medium,High,Medium,MediumHigh,High,Medium,MediumLow,White
High,MediumHigh,Medium,Medium,MediumHigh,High,Medium,Red
High,MediumHigh,MediumLow,MediumLow,Medium,High,MediumHigh,Red
Medium,Medium,Medium,MediumHigh,Medium,MediumLow,High,White
High,Medium,MediumLow,MediumLow,Medium,High,High,Red
MediumHigh,MediumLow,Medium,MediumHigh,Medium,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,High,Medium,MediumLow,Red
High,MediumLow,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
Medium,High,Medium,MediumHigh,Medium,MediumLow,MediumLow,White
MediumHigh,High,High,High,High,High,MediumLow,White
Medium,MediumHigh,High,MediumHigh,Medium,MediumLow,Medium,White
Medium,MediumHigh,High,MediumHigh,High,Medium,High,White
MediumLow,High,MediumHigh,Medium,MediumHigh,Medium,MediumLow,White
MediumHigh,High,MediumLow,Medium,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumLow,Medium,MediumHigh,Medium,MediumHigh,MediumHigh,White
Medium,MediumHigh,High,High,Medium,MediumLow,High,White
High,MediumLow,Medium,Medium,Medium,High,MediumLow,Red
MediumLow,MediumHigh,High,Medium,Medium,MediumHigh,High,White
High,Medium,Medium,MediumLow,Medium,MediumHigh,Medium,Red
High,MediumHigh,High,MediumHigh,MediumLow,MediumLow,Medium,White
High,MediumLow,Medium,MediumLow,MediumLow,MediumLow,MediumHigh,White
High,Medium,Medium,Medium,MediumHigh,High,MediumLow,Red
High,MediumHigh,MediumLow,MediumLow,MediumHigh,High,High,Red
High,MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,White
MediumHigh,MediumLow,Medium,MediumLow,High,MediumHigh,MediumLow,Red
Medium,MediumHigh,MediumHigh,Medium,High,High,High,White
Medium,MediumHigh,High,MediumHigh,MediumLow,MediumHigh,High,White
Medium,High,High,High,Medium,MediumHigh,Medium,White
High,High,MediumHigh,High,Medium,MediumLow,High,White
MediumLow,Medium,Medium,MediumHigh,High,Medium,High,White
High,Medium,MediumLow,Medium,MediumLow,High,Medium,Red
MediumHigh,MediumLow,MediumHigh,MediumLow,MediumLow,MediumLow,MediumLow,Red
MediumLow,Medium,MediumHigh,Medium,High,High,High,White
Medium,MediumHigh,MediumLow,MediumLow,High,High,MediumLow,Red
MediumLow,MediumLow,MediumHigh,Medium,High,MediumLow,MediumHigh,White
MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,White
MediumHigh,MediumLow,Medium,Medium,MediumHigh,Medium,MediumHigh,White
Medium,MediumLow,High,Medium,High,MediumHigh,High,White
Medium,MediumLow,High,MediumHigh,High,MediumHigh,High,White
High,Medium,Medium,MediumHigh,MediumHigh,High,Medium,Red
MediumLow,MediumLow,Medium,MediumLow,MediumHigh,MediumHigh,MediumHigh,White
High,MediumLow,MediumLow,MediumLow,MediumLow,High,MediumHigh,Red
Medium,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
Medium,Medium,Medium,Medium,High,MediumHigh,Medium,Red
High,Medium,MediumLow,MediumLow,MediumHigh,High,Medium,Red
MediumLow,MediumLow,High,High,MediumHigh,MediumLow,Medium,White
MediumHigh,MediumLow,High,MediumHigh,High,Medium,MediumHigh,White
Medium,MediumLow,High,MediumHigh,Medium,High,MediumHigh,White
Medium,High,High,MediumHigh,MediumHigh,High,Medium,White
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,White
High,Medium,MediumLow,MediumLow,High,Medium,MediumHigh,Red
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,MediumHigh,Red
Medium,High,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
Medium,Medium,MediumLow,MediumLow,High,High,Medium,Red
MediumHigh,MediumHigh,Medium,Medium,High,Medium,Medium,White
High,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,MediumLow,High,Medium,Red
Medium,MediumLow,MediumHigh,Medium,Medium,High,High,White
MediumHigh,High,MediumHigh,Medium,MediumLow,MediumHigh,MediumHigh,White
MediumHigh,High,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,White
High,MediumHigh,Medium,MediumLow,High,High,MediumHigh,Red
MediumHigh,MediumLow,Medium,MediumHigh,MediumHigh,Medium,MediumHigh,White
High,MediumLow,MediumLow,MediumHigh,Medium,MediumLow,High,White
MediumHigh,MediumLow,Medium,Medium,Medium,Medium,MediumHigh,White
Medium,MediumLow,MediumHigh,High,MediumHigh,High,MediumHigh,White
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
Medium,High,High,High,MediumLow,High,MediumLow,White
Medium,High,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
Medium,High,High,High,MediumHigh,MediumLow,MediumLow,White
MediumHigh,High,High,High,Medium,Medium,MediumLow,White
Medium,MediumHigh,Medium,Medium,Medium,MediumLow,High,White
Medium,Medium,Medium,MediumLow,High,High,MediumHigh,Red
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
Medium,High,MediumHigh,MediumHigh,Medium,Medium,Medium,White
MediumHigh,High,High,High,High,MediumHigh,Medium,White
Medium,MediumHigh,MediumHigh,MediumHigh,High,Medium,High,White
Medium,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
Medium,MediumHigh,MediumHigh,High,Medium,Medium,Medium,White
Medium,Medium,MediumLow,MediumLow,High,Medium,High,Red
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
MediumLow,MediumLow,MediumHigh,Medium,Medium,Medium,High,White
MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,High,White
Medium,MediumHigh,MediumHigh,Medium,Medium,MediumHigh,High,White
High,Medium,Medium,MediumLow,High,High,Medium,Red
MediumHigh,Medium,MediumHigh,MediumHigh,Medium,Medium,High,White
MediumLow,High,MediumHigh,High,Medium,MediumHigh,MediumLow,White
MediumLow,Medium,MediumHigh,High,Medium,Medium,MediumHigh,White
MediumLow,MediumLow,MediumHigh,Medium,High,MediumLow,High,White
MediumLow,High,Medium,Medium,MediumHigh,MediumLow,High,White
High,MediumLow,MediumHigh,Medium,MediumLow,MediumLow,High,White
MediumHigh,MediumHigh,MediumLow,MediumLow,High,High,MediumHigh,Red
MediumLow,Medium,MediumLow,MediumLow,High,MediumHigh,High,Red
MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumLow,Medium,MediumLow,MediumHigh,MediumLow,High,White
Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
Medium,Medium,MediumHigh,Medium,MediumHigh,MediumHigh,High,White
MediumLow,MediumLow,MediumLow,MediumHigh,High,Medium,MediumHigh,White
MediumLow,Medium,MediumLow,MediumLow,MediumHigh,MediumLow,High,White
MediumLow,MediumHigh,High,High,High,MediumHigh,MediumHigh,White
High,Medium,MediumHigh,Medium,MediumHigh,Medium,MediumHigh,White
Medium,High,High,High,High,High,MediumHigh,White
MediumLow,MediumLow,Medium,Medium,High,High,High,White
MediumLow,MediumLow,High,Medium,MediumHigh,MediumLow,High,White
Medium,MediumHigh,MediumLow,MediumHigh,Medium,Medium,Medium,White
Medium,Medium,High,High,MediumLow,Medium,MediumLow,White
MediumLow,Medium,High,MediumHigh,MediumLow,High,Medium,White
MediumLow,MediumHigh,High,High,MediumHigh,MediumLow,MediumLow,White
Medium,MediumLow,High,MediumHigh,High,MediumHigh,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,Medium,Medium,Red
MediumHigh,MediumLow,Medium,MediumHigh,High,Medium,Medium,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumLow,High,White
MediumLow,High,MediumLow,MediumLow,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,Medium,High,MediumLow,High,High,High,Red
MediumHigh,MediumLow,MediumLow,Medium,Medium,Medium,Medium,White
Medium,High,High,High,High,MediumLow,Medium,White
High,MediumLow,MediumLow,High,Medium,Medium,Medium,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
MediumLow,MediumLow,Medium,Medium,MediumHigh,Medium,High,White
MediumHigh,High,High,High,Medium,Medium,Medium,White
MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,Medium,Medium,White
High,High,High,High,Medium,Medium,Medium,White
Medium,High,MediumHigh,MediumHigh,Medium,Medium,Medium,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumLow,Red
High,MediumLow,MediumHigh,MediumHigh,Medium,MediumLow,High,White
MediumHigh,Medium,Medium,MediumLow,MediumHigh,Medium,MediumLow,Red
High,Medium,MediumLow,MediumLow,MediumHigh,Medium,MediumLow,Red
MediumLow,MediumLow,MediumHigh,Medium,MediumHigh,High,High,White
MediumHigh,High,Medium,MediumHigh,MediumLow,Medium,MediumLow,White
High,High,High,High,MediumLow,Medium,Medium,White
High,MediumHigh,MediumHigh,High,Medium,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
Medium,MediumLow,MediumHigh,High,Medium,MediumHigh,MediumHigh,White
MediumLow,MediumLow,MediumLow,High,MediumHigh,High,Medium,White
MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,MediumHigh,White
MediumHigh,MediumHigh,Medium,High,MediumLow,Medium,Medium,White
MediumHigh,High,Medium,High,MediumLow,MediumHigh,MediumHigh,White
MediumLow,MediumHigh,Medium,MediumHigh,High,MediumLow,High,White
Medium,MediumHigh,MediumHigh,Medium,Medium,Medium,High,White
High,MediumHigh,MediumLow,MediumLow,MediumLow,High,Medium,White
MediumHigh,Medium,MediumHigh,Medium,High,High,MediumHigh,Red
High,MediumLow,High,MediumHigh,MediumHigh,High,Medium,White
Medium,MediumLow,MediumHigh,Medium,MediumLow,MediumHigh,High,White
MediumHigh,Medium,Medium,Medium,MediumHigh,MediumHigh,Medium,Red
Medium,High,High,MediumHigh,High,MediumHigh,MediumHigh,White
High,MediumHigh,High,High,MediumLow,MediumHigh,MediumHigh,White
High,High,MediumHigh,MediumHigh,Medium,Medium,Medium,White
MediumHigh,Medium,MediumHigh,MediumLow,High,High,High,Red
Medium,High,High,High,MediumLow,MediumHigh,MediumHigh,White
High,MediumLow,Medium,MediumHigh,MediumLow,MediumHigh,High,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,Medium,MediumHigh,Red
Medium,High,High,High,Medium,Medium,Medium,White
High,Medium,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumHigh,Medium,Medium,MediumLow,High,MediumHigh,MediumHigh,Red
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
MediumLow,High,Medium,MediumHigh,High,Medium,Medium,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumLow,MediumHigh,Medium,Medium,MediumLow,MediumHigh,High,White
Medium,Medium,MediumHigh,Medium,High,High,MediumHigh,White
High,High,MediumLow,MediumHigh,High,Medium,MediumLow,White
MediumHigh,High,High,High,MediumLow,MediumLow,MediumHigh,White
Medium,MediumHigh,High,High,Medium,Medium,MediumLow,White
MediumLow,High,High,MediumHigh,Medium,MediumHigh,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,Red
High,Medium,MediumLow,MediumLow,MediumHigh,Medium,Medium,Red
MediumLow,Medium,Medium,MediumHigh,MediumHigh,Medium,MediumHigh,White
Medium,High,MediumLow,MediumLow,MediumLow,MediumHigh,MediumHigh,White
MediumHigh,MediumLow,High,High,High,High,MediumHigh,White
High,Medium,High,MediumHigh,MediumHigh,MediumHigh,Medium,Red
MediumHigh,MediumHigh,MediumHigh,Medium,High,MediumHigh,MediumLow,White
MediumLow,High,High,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,MediumLow,MediumHigh,High,Medium,MediumHigh,High,White
MediumHigh,MediumHigh,Medium,MediumHigh,Medium,High,MediumHigh,White
Medium,High,High,High,MediumHigh,MediumHigh,MediumLow,White
MediumLow,Medium,MediumHigh,Medium,Medium,Medium,High,White
High,MediumHigh,MediumHigh,MediumLow,MediumHigh,High,MediumHigh,Red
MediumLow,MediumHigh,MediumHigh,Medium,High,High,High,White
Medium,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
Medium,High,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
MediumLow,MediumLow,MediumLow,Medium,High,MediumLow,MediumHigh,White
MediumHigh,MediumLow,Medium,Medium,Medium,Medium,High,White
MediumLow,MediumLow,Medium,MediumLow,High,MediumLow,MediumLow,White
Medium,MediumHigh,Medium,MediumHigh,MediumHigh,Medium,High,White
High,High,High,MediumHigh,Medium,Medium,MediumLow,White
MediumLow,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
Medium,MediumHigh,MediumLow,Medium,Medium,MediumHigh,MediumHigh,White
MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,Medium,Medium,Red
MediumHigh,High,Medium,High,MediumLow,MediumHigh,Medium,White
High,High,High,MediumHigh,MediumLow,MediumLow,High,White
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
MediumHigh,MediumLow,Medium,MediumLow,MediumHigh,High,High,White
Medium,MediumHigh,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,White
Medium,High,High,MediumHigh,MediumLow,Medium,MediumLow,White
MediumHigh,High,High,High,MediumLow,High,Medium,White
MediumHigh,Medium,Medium,MediumLow,High,High,Medium,Red
High,High,High,High,Medium,Medium,Medium,White
MediumLow,High,High,High,Medium,Medium,MediumLow,White
High,MediumLow,Medium,MediumHigh,MediumLow,Medium,MediumHigh,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
High,Medium,MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,Red
MediumLow,MediumLow,MediumHigh,MediumLow,High,Medium,High,White
High,MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
High,Medium,Medium,High,MediumLow,High,High,White
Medium,High,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
Medium,MediumLow,High,Medium,Medium,High,High,White
High,Medium,MediumLow,MediumLow,Medium,Medium,MediumHigh,Red
High,MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,White
Medium,Medium,MediumLow,MediumHigh,High,High,MediumHigh,Red
MediumHigh,MediumLow,Medium,MediumLow,Medium,High,High,White
MediumLow,MediumLow,MediumHigh,Medium,Medium,Medium,High,White
High,Medium,MediumLow,MediumLow,Medium,Medium,Medium,Red
Medium,MediumHigh,High,High,MediumLow,MediumHigh,High,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
High,Medium,MediumLow,MediumLow,Medium,High,High,Red
MediumLow,Medium,MediumLow,MediumLow,MediumLow,High,High,White
MediumLow,High,Medium,Medium,High,Medium,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumLow,High,White
Medium,High,MediumHigh,High,MediumHigh,MediumHigh,MediumLow,White
Medium,High,Medium,Medium,MediumHigh,High,High,White
MediumLow,MediumLow,MediumLow,MediumLow,High,MediumHigh,High,Red
MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,Medium,MediumLow,White
Medium,Medium,MediumLow,MediumLow,High,Medium,MediumHigh,Red
Medium,MediumHigh,High,High,Medium,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumLow,Medium,Red
High,MediumHigh,MediumLow,Medium,MediumHigh,High,MediumLow,Red
MediumLow,MediumLow,MediumLow,MediumHigh,High,Medium,MediumHigh,White
Medium,MediumHigh,High,High,MediumHigh,High,Medium,White
Medium,MediumHigh,High,High,Medium,Medium,MediumLow,White
High,Medium,MediumLow,MediumLow,Medium,High,High,Red
Medium,MediumLow,High,Medium,MediumLow,MediumLow,MediumLow,White
Medium,MediumLow,MediumHigh,MediumHigh,MediumLow,Medium,MediumHigh,White
High,MediumLow,MediumHigh,High,Medium,MediumHigh,MediumHigh,White
High,High,MediumHigh,High,Medium,MediumLow,Medium,White
Medium,MediumHigh,MediumLow,MediumHigh,MediumLow,MediumHigh,MediumLow,White
High,Medium,MediumLow,MediumLow,High,High,High,Red
MediumLow,MediumLow,Medium,MediumLow,MediumHigh,High,MediumLow,White
MediumHigh,MediumLow,Medium,High,MediumLow,Medium,Medium,White
High,Medium,Medium,Medium,High,MediumHigh,Medium,Red
MediumHigh,MediumHigh,MediumLow,Medium,Medium,MediumLow,MediumHigh,White
MediumHigh,MediumLow,Medium,Medium,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,High,White
Medium,MediumHigh,High,MediumHigh,MediumLow,Medium,MediumHigh,White
High,MediumLow,MediumHigh,MediumHigh,MediumLow,Medium,High,White
MediumLow,Medium,High,High,High,MediumHigh,MediumHigh,White
MediumLow,High,Medium,High,MediumHigh,MediumHigh,Medium,White
MediumLow,Medium,MediumLow,MediumLow,High,Medium,High,Red
High,Medium,MediumLow,MediumLow,MediumLow,High,High,Red
MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,Medium,High,White
Medium,High,Medium,Medium,MediumLow,MediumLow,High,White
High,High,High,High,Medium,MediumHigh,Medium,White
High,High,Medium,MediumHigh,Medium,MediumLow,MediumLow,White
MediumLow,High,High,MediumHigh,Medium,MediumLow,MediumHigh,White
High,Medium,MediumHigh,MediumLow,High,MediumHigh,High,Red
Medium,MediumHigh,MediumLow,MediumHigh,MediumHigh,Medium,MediumLow,White
High,MediumHigh,MediumHigh,Medium,MediumHigh,Medium,MediumLow,Red
Medium,MediumHigh,Medium,Medium,Medium,MediumLow,Medium,White
MediumLow,Medium,MediumHigh,Medium,High,High,High,White
MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,High,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
Medium,Medium,MediumLow,MediumLow,High,MediumHigh,Medium,Red
MediumHigh,MediumHigh,Medium,Medium,MediumHigh,Medium,Medium,White
Medium,MediumLow,High,MediumHigh,High,MediumHigh,Medium,White
MediumHigh,Medium,Medium,Medium,High,High,Medium,Red
Medium,MediumHigh,High,High,Medium,MediumLow,Medium,White
MediumHigh,MediumLow,Medium,MediumHigh,Medium,Medium,MediumHigh,White
MediumHigh,Medium,MediumHigh,MediumHigh,High,Medium,MediumHigh,Red
High,MediumHigh,High,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumHigh,High,High,MediumHigh,Medium,Medium,MediumLow,White
MediumHigh,MediumHigh,Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumLow,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
Medium,High,High,High,High,High,Medium,White
High,Medium,Medium,Medium,MediumHigh,MediumHigh,Medium,Red
High,Medium,MediumHigh,Medium,MediumHigh,High,MediumHigh,Red
MediumHigh,High,MediumHigh,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,Medium,Medium,Medium,Medium,Medium,MediumHigh,White
MediumLow,MediumLow,MediumLow,Medium,High,Medium,MediumHigh,White
MediumLow,High,High,MediumHigh,Medium,Medium,Medium,White
High,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,High,White
High,Medium,MediumHigh,Medium,MediumLow,MediumLow,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,White
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,Medium,Red
Medium,MediumHigh,High,High,High,MediumLow,MediumHigh,White
Medium,High,Medium,High,MediumLow,High,MediumLow,White
High,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,MediumHigh,White
High,High,High,MediumHigh,MediumHigh,High,MediumLow,White
MediumHigh,High,MediumHigh,High,MediumLow,MediumHigh,MediumLow,White
High,MediumHigh,Medium,MediumHigh,Medium,Medium,MediumHigh,White
MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,High,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
Medium,MediumHigh,MediumHigh,Medium,MediumLow,MediumHigh,High,White
High,High,High,High,High,MediumLow,Medium,White
MediumHigh,High,High,High,Medium,Medium,MediumLow,White
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,White
MediumLow,MediumHigh,Medium,MediumHigh,MediumHigh,Medium,MediumLow,White
MediumLow,MediumLow,MediumHigh,Medium,High,High,High,White
Medium,MediumLow,MediumLow,MediumLow,MediumHigh,MediumLow,High,White
Medium,MediumHigh,High,High,MediumLow,MediumLow,MediumLow,White
High,MediumHigh,MediumLow,MediumLow,MediumLow,High,High,Red
MediumHigh,Medium,MediumHigh,Medium,High,High,MediumHigh,White
Medium,Medium,Medium,Medium,High,MediumHigh,High,White
High,MediumLow,Medium,MediumLow,Medium,MediumLow,MediumHigh,White
High,MediumLow,MediumLow,Medium,MediumLow,High,High,White
MediumHigh,MediumHigh,MediumLow,MediumHigh,High,MediumLow,MediumHigh,White
High,MediumLow,MediumLow,MediumLow,MediumLow,High,Medium,Red
High,High,High,High,MediumLow,MediumLow,MediumLow,White
Medium,Medium,High,Medium,Medium,MediumLow,High,White
Medium,High,Medium,Medium,High,MediumLow,MediumLow,White
High,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumHigh,MediumHigh,Medium,Medium,High,High,Medium,White
Medium,Medium,MediumLow,Medium,MediumLow,MediumLow,High,White
MediumHigh,High,High,High,MediumLow,Medium,Medium,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
MediumHigh,High,Medium,High,Medium,Medium,Medium,White
